name,sequence,opening_date,end_date,closing_date,description
Textiles,3,2025-09-01,2025-10-03,2025-10-03,There is no desciption
Flight & Aviation,9,2026-04-27,2026-05-22,2026-05-22,There is no desciption
Metalworking & CNC,8,2026-03-23,2026-04-24,2026-04-24,There is no desciption
Robotics and automation,7,2026-02-02,2026-03-12,2026-03-13,There is no desciption
Electronics & Circuits,6,2025-12-15,2026-02-06,2026-02-06,There is no desciption
Plastics & 3D Design,5,2025-11-10,2025-12-12,2025-12-12,There is no desciption
Carpentry & Woodwork,4,2025-10-06,2025-11-07,2025-11-07,There is no desciption
"Safety, 2D Design & Measurement",2,2025-09-01,2025-10-03,2025-10-03,There is no desciption
"Professionalism, Procedures, and Design Process",1,2025-08-14,2025-08-29,2025-08-29,There is no desciption
